subject,scan,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
S01,scan3,3,129,0.11099073000000002,0.08308612185872132,0.080077852,0.0995335788095238,0.05838769093079999,3.5527137e-15,0.4598799,0.45987989999999646,1.6932211068452765,3.7006135107521336,0.0073153251293592405
S01,scan3,4,129,0.002791576658542636,0.002092755389768257,0.0023224136,0.002602723715904762,0.0015609328744799998,2.7755576e-17,0.0083936093,0.008393609299999973,0.8630427832432693,-0.2253136440969583,1.842568379639296e-4
S01,scan3,5,129,0.0016923309544031007,0.0011883632502123652,0.0015830548,0.0016196714052380953,0.00136183288962,3.469447e-18,0.0046015338,0.0046015337999999965,0.48116626057993966,-0.8822440413793631,1.046295500693541e-4
S01,scan3,6,129,0.0021666950775426357,0.0017118178885656425,0.0011368422,0.0020924233455238096,0.001229022945612,9.6296497e-35,0.0051484127,0.0051484127,0.4386373928903582,-1.5387656591067733,1.5071716114520357e-4
S01,scan4,1,129,0.017326872669356588,0.017469859734931432,0.012453743,0.014387358463809523,0.013471636893959998,0,0.09356672,0.09356672,1.7407832565384704,3.4150723545908637,0.0015381353837001903
S01,scan4,2,129,0.04388724496736434,0.03800756746961075,0.039153982,0.040525552504761905,0.03769975591619999,0,0.31962356,0.31962356,3.0325815799968487,19.162104036349042,0.0033463797225851085
S01,scan4,3,129,0.4834578863023256,0.21021236221514117,0.48942299,0.48949360752380955,0.22848381217199992,1.7763568e-15,0.82637064,0.8263706399999983,-0.27434538987732154,-0.9071553028518582,0.018508166483317136
S01,scan4,4,129,0.007229720455968992,0.0033777952043499014,0.008022904,0.0073999216504761905,0.0021484657567800007,0,0.020516452,0.020516452,-0.322968975253745,0.9291655764671285,2.9739828490522164e-4
S01,scan4,5,129,7.456754921472868e-4,4.7052676785396626e-4,7.3615916e-4,7.181444997142857e-4,5.71527488826e-4,0,0.0019531065,0.0019531065,0.4775526828511673,-0.6780378782321526,4.14275719207491e-5
S01,scan4,6,129,0.0039602558244573646,0.0013539371156214676,0.0044187741,0.004119898933333334,8.547850239599996e-4,0,0.0055391008,0.0055391008,-1.0980384739593798,0.15248243595290667,1.1920751605568221e-4
S01,scan5,1,129,0.043573283502755036,0.04472516328537872,0.029783067,0.03696535552666667,0.026568399564,0,0.15156292,0.15156292,1.2543211728954542,0.18046454497001152,0.003937831055017321
